기관명,주소,응급실전화,입원실가용여부,병상수,응급실가능여부,경도,위도,응급실,입원실,수술실,지역(시),지역(구)
의료법인성화의료재단대한병원,"서울특별시 강북구 도봉로 301 (수유동, 대한병원)",02-905-9110,1,201,,127.02267251878474,37.63547043209498,7,189,3,서울특별시,강북구
세란병원,서울특별시 종로구 통일로 256 (무악동),02-737-0181,1,204,,126.9577071892358,37.57534016994642,10,213,5,서울특별시,종로구
서울특별시서울의료원,서울특별시 중랑구 신내로 156 (신내동),02-2276-7403,1,651,N         ,127.0980910949257,37.61286931510163,22,549,9,서울특별시,중랑구
부민병원,"서울특별시 강서구 공항대로 389, 부민병원 (등촌동)",02-2620-0119,1,300,,126.85094950539181,37.556940892893586,10,221,5,서울특별시,강서구
대림성모병원,"서울특별시 영등포구 시흥대로 657 (대림동, 대림성모병원)",02-829-9129,1,202,,126.90716948025135,37.49068925436284,10,178,4,서울특별시,영등포구
한림대학교한강성심병원,"서울특별시 영등포구 버드나루로7길 12 (영등포동7가, 한강성심병원)",02-2639-5555,1,140,N         ,126.91033000120589,37.52346674579277,30,146,5,서울특별시,영등포구
경찰병원,"서울특별시 송파구 송이로 123, 국립경찰병원 (가락동)",02-3400-1300,1,380,N         ,127.12348793503201,37.496413213560785,13,181,7,서울특별시,송파구
서울특별시보라매병원,서울특별시 동작구 보라매로5길 20 (신대방동),02-870-2119,1,765,N         ,126.92404876254014,37.4937184009319,43,705,14,서울특별시,동작구
의료법인서울효천의료재단에이치플러스양지병원,"서울특별시 관악구 남부순환로 1636, 양지병원 (신림동)",070-4665-9119,1,289,N         ,126.93253922577287,37.48427507045319,21,267,6,서울특별시,관악구
우리들병원,서울특별시 강서구 하늘길 70 (과해동),02-2660-7057,1,165,,126.7963653099318,37.56199597494205,,,,서울특별시,강서구
강동경희대학교의대병원,서울특별시 강동구 동남로 892 (상일동),02-440-7000,1,704,Y         ,127.157084787845,37.5520459324005,22,687,14,서울특별시,강동구
녹색병원,서울특별시 중랑구 사가정로49길 53 (면목동),02-490-2113,1,282,N         ,127.08605546969357,37.58362083896108,10,299,3,서울특별시,중랑구
씨엠병원,"서울특별시 영등포구 영등포로36길 13 (영등포동4가, 충무병원)",070-4698-7811,1,110,,126.90367981067837,37.518848328762154,10,101,4,서울특별시,영등포구
미즈메디병원,서울특별시 강서구 강서로 295 (내발산동),02-2007-1118,1,100,,126.83602535156236,37.55225379358291,4,100,5,서울특별시,강서구
강남고려병원,서울특별시 관악구 관악로 242 (봉천동),02-874-7227,1,185,N         ,126.956781703053,37.4856188363947,10,148,3,서울특별시,관악구
노원을지대학교병원,"서울특별시 노원구 한글비석로 68, 을지병원 (하계동)",02-970-8282,1,542,N         ,127.07000281991385,37.636442927386746,23,449,10,서울특별시,노원구
희명병원,서울특별시 금천구 시흥대로 244 (시흥동),02-809-0122,1,225,N         ,126.90056251863875,37.45567063464179,10,215,3,서울특별시,금천구
서울성심병원,"서울특별시 동대문구 왕산로 259, 서울성심병원 (청량리동)",02-966-1616,1,227,N         ,127.04983805981972,37.58419129209865,6,213,6,서울특별시,동대문구
혜민병원,서울특별시 광진구 자양로 85 (자양동),02-2049-9119,1,224,N         ,127.08360130258502,37.535315660180416,10,235,5,서울특별시,광진구
국립중앙의료원,"서울특별시 중구 을지로 245, 국립중앙의료원 (을지로6가)",02-2276-2114,1,499,N         ,127.00579539705472,37.56733955813183,23,326,7,서울특별시,중구
한국보훈복지의료공단 중앙보훈병원,서울특별시 강동구 진황도로61길 53 (둔촌동),02-2225-1100,1,987,Y         ,127.14671886173552,37.528220900896635,30,817,14,서울특별시,강동구
성애의료재단성애병원,"서울특별시 영등포구 여의대방로53길 22 (신길동, 성애병원)",02-840-7115,1,275,N         ,126.92236733617031,37.51205044957338,21,255,5,서울특별시,영등포구
한림대학교강남성심병원,"서울특별시 영등포구 신길로 1 (대림동, 강남성심병원)",02-829-5119,1,539,Y         ,126.9086725295,37.4932492859,31,515,14,서울특별시,영등포구
차의과학대학교 강남차병원,"서울특별시 강남구 논현로 566, 강남차병원(역삼동650-9, 606-4, 605외2필지(지하7층~지하1층, 지상2층~7층)) (역삼동)",02-3468-3060,1,251,,127.03466865188072,37.506800025850865,0,206,7,서울특별시,강남구
로이병원,"서울특별시 종로구 평창문화로 75, 글로리아타운 2층일부,3,5층 (평창동)",,1,120,,126.96900620111,37.606862635259,,,,서울특별시,종로구
달려라병원,서울특별시 강동구 천호대로 1165 (길동),,1,91,,127.14092847303698,37.53408148332311,,,,서울특별시,강동구
성지병원,서울특별시 금천구 가산로 122 (가산동),,1,212,,126.892880007688,37.4765953048742,0,181,0,서울특별시,금천구
신촌연세병원,"서울특별시 마포구 서강로 110, 지2층~6층 (신수동)",02-337-7582,1,129,,126.933734666413,37.5525892651719,6,175,5,서울특별시,마포구
강북21세기병원,서울특별시 중랑구 면목로 473 (상봉동),,1,87,,127.085631420521,37.5940484210525,,45,3,서울특별시,중랑구
선한목자병원,"서울특별시 강남구 논현로 507 (역삼동, 성지하이츠3차빌딩 2층,3층일부)",,1,38,,127.036157208818,37.5015784938059,0,10,2,서울특별시,강남구
연세슬기병원,서울특별시 성동구 무학로2길 8 (도선동),,1,61,,127.030678010912,37.5642703458178,2,96,2,서울특별시,성동구
금강아산병원(재단법인 아산사회복지재단),서울특별시 용산구 이촌로 318 (이촌동),,1,48,,126.98273008257,37.5176798435221,0,101,2,서울특별시,용산구
청병원,"서울특별시 강동구 올림픽로 546, G.M.F.빌딩 (성내동)",,1,80,,127.121022361639,37.530247187452,,41,2,서울특별시,강동구
솔병원,"서울특별시 강서구 방화대로 352, 1~4층 (방화동)",,1,46,,126.8173739572,37.572359343600006,,79,,서울특별시,강서구
메드렉스병원,"서울특별시 강남구 논현로 705, 메드렉스병원 (논현동)",,1,83,,127.029976515577,37.5148984268352,0,83,5,서울특별시,강남구
의료법인풍산의료재단동부제일병원,"서울특별시 중랑구 망우로 511, 동부제일병원 지하1~6층 (망우동)",02-490-8880,1,124,,127.1090292210168,37.60067564592665,7,104,2,서울특별시,중랑구
강남힐병원,"서울특별시 관악구 남부순환로 1449, 강남힐병원 (신림동)",02-853-9100,1,94,,126.911648078471,37.4816513439454,4,99,2,서울특별시,관악구
신일병원,서울특별시 강북구 덕릉로 73 (수유동),,1,48,,127.021825891177,37.6347745804936,6,60,1,서울특별시,강북구
비에비스나무병원,"서울특별시 강남구 논현로 627, 유현빌딩 지하2,1~9,12층 (논현동)",,1,42,,127.03235680386943,37.50955952897761,0,35,2,서울특별시,강남구
서울미즈병원,서울특별시 강동구 천호대로 1043 (천호동),,1,61,,127.128105133924,37.5376220633826,0,72,3,서울특별시,강동구
서울양병원,서울특별시 강동구 천호대로 1159 (길동),,1,50,,127.140123786539,37.5340665832454,,50,3,서울특별시,강동구
미병원,"서울특별시 강남구 논현로168길 35, 목산빌딩, 지하2층, 3~5층 (신사동)",,1,30,,127.0312089327,37.5234641249,,30,4,서울특별시,강남구
윤호병원,"서울특별시 강남구 압구정로 304, 윤호병원 (지하1층,지하2층,1층~4층,7층)  (신사동)",,1,30,,127.034414086692,37.5288443792735,0,48,2,서울특별시,강남구
새움병원,"서울특별시 금천구 시흥대로139길 8, 새움병원 (독산동)",,1,100,,126.897655390325,37.4730528935658,,63,3,서울특별시,금천구
서울연세병원,"서울특별시 마포구 토정로 271, 대현빌딩 지하1층,지상2~6층 (용강동)",,1,44,,126.940310619041,37.5424624834344,,47,2,서울특별시,마포구
장스여성병원(본관),서울특별시 중랑구 망우로 411  (망우동),,1,39,,127.097891610363,37.5995969226542,,68,1,서울특별시,중랑구
참튼튼병원,서울특별시 동대문구 답십리로 261 (장안동),,1,93,,127.069359147079,37.572732776108,,,,서울특별시,동대문구
맑은수병원,서울특별시 동대문구 천호대로83길 44 (장안동),,1,129,,127.065546531255,37.5638839349002,,189,,서울특별시,동대문구
에이치큐브병원,서울특별시 도봉구 도봉로 604 (창동),,1,54,,127.04103427994265,37.65831441873671,,59,5,서울특별시,도봉구
연세바른병원,"서울특별시 동작구 사당로 300, 2·4층일부및3  층 (사당동, 이수자이)",,1,45,,126.980281616349,37.4843790909712,,60,,서울특별시,동작구
공안과병원,서울특별시 강동구 풍성로37길 45 (성내동),,1,30,,127.126027072458,37.5339148820044,,,,서울특별시,강동구
의료법인춘혜의료재단명지춘혜재활병원,"서울특별시 영등포구 대림로 223 (대림동, 명지춘혜병원)",,1,226,,126.897027181092,37.5006467013969,,,,서울특별시,영등포구
예스병원,"서울특별시 구로구 구로동로 147, MEDI FLOWER 147 (구로동)",,1,58,,126.883400470712,37.4916865049695,,,,서울특별시,구로구
바른본병원,서울특별시 광진구 천호대로 630 (능동),,1,41,,127.087170869081,37.5537986062705,,35,2,서울특별시,광진구
조은마디병원,서울특별시 강동구 천호대로170길 19 (성내동),,1,52,,127.133211287427,37.5343626326079,,,,서울특별시,강동구
사랑플러스병원,서울특별시 강동구 양재대로 1580 (명일동),,1,95,,127.143605912129,37.5466848586676,,,,서울특별시,강동구
강동연세병원,서울특별시 강동구 올림픽로 734 (천호동),,1,32,,127.126626265578,37.5467610506714,,49,1,서울특별시,강동구
참튼튼병원,"서울특별시 노원구 노해로 502, 2층, 3층, 5층 (상계동)",,1,53,,127.063692307584,37.6544500497108,,,,서울특별시,노원구
팔팔병원,"서울특별시 중랑구 동일로 679 (면목동, 88병원)",,1,86,,127.07969838544,37.5909406409469,,,,서울특별시,중랑구
참포도나무병원,서울특별시 서초구 바우뫼로35길 32 (양재동),,1,38,,127.038680321903,37.4799289174276,,40,2,서울특별시,서초구
선수촌병원,"서울특별시 송파구 올림픽로 76, J타워 3~7층 (잠실동)",,1,53,,127.079181383259,37.5115603565131,,,,서울특별시,송파구
삼성미래여성병원,"서울특별시 구로구 서해안로 2296, 삼성미래여성병원 (오류동)",,1,51,,126.84044403086,37.4912413885939,,,,서울특별시,구로구
강북우리들병원,"서울특별시 강북구 한천로 1083, 수유동 (수유동, 광산타워)",,1,83,,127.022634105373,37.6425448823211,,,,서울특별시,강북구
광혜병원,"서울특별시 강남구 영동대로86길 9 (대치동, 지하1~2층,2~7층)",,1,79,,127.064771981255,37.508136490079,,,,서울특별시,강남구
메디힐병원,"서울특별시 양천구 남부순환로 331 (신월동, 메디힐병원)",,1,116,,126.827841386792,37.5372613394638,11,113,6,서울특별시,양천구
365엠씨(mc)병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",,1,46,,127.014115205707,37.4929905549467,,,,서울특별시,서초구
청화병원,서울특별시 동작구 장승배기로 108 (노량진동),,1,53,,126.94020821431485,37.50702302771752,,,2,서울특별시,동작구
제니스병원,서울특별시 광진구 자양로 215 (구의동),,1,96,,127.08644676217,37.5465132167877,,90,0,서울특별시,광진구
영동병원,서울특별시 동대문구 한천로 4 (장안동),,1,80,,127.058553733243,37.5632449294324,2,80,2,서울특별시,동대문구
웰튼병원,"서울특별시 강서구 마곡중앙5로 22, 지하1,2지상4,1층 0,11,12호 (마곡동)",,1,52,,126.825303015866,37.5672498211268,3,89,4,서울특별시,강서구
토마스병원,"서울특별시 강남구 언주로174길 15, 구정빌딩 (신사동)",,1,31,,127.035233806887,37.5285132897442,0,51,2,서울특별시,강남구
뉴스타트병원,"서울특별시 송파구 송이로 76, 뉴스타트병원 (가락동)",,1,141,,127.119513008234,37.4990977042848,,92,1,서울특별시,송파구
연세사랑병원,"서울특별시 서초구 남부순환로 2205, 지하4층~지상6층 (방배동)",,1,168,,126.993730897115,37.4740486964094,0,85,4,서울특별시,서초구
서울라본병원,서울특별시 중랑구 망우로 476 (망우동),,1,57,,127.1050924258,37.600312514,,33,2,서울특별시,중랑구
민병원,"서울특별시 강북구 도봉로 155, 서울민병원 (미아동)",,1,40,,127.027280383769,37.6226164357907,0,57,2,서울특별시,강북구
방병원,"서울특별시 노원구 동일로 989, 1~9층 (공릉동)",,1,67,,127.075033608195,37.6184022670986,,53,2,서울특별시,노원구
국립재활원,"서울특별시 강북구 삼각산로 58 (수유동, 국립재활원)",,1,264,,127.010264590667,37.638655704921,0,200,0,서울특별시,강북구
서울송도병원,"서울특별시 중구 다산로 78, 송도병원 (신당동)",,1,152,,127.008381705394,37.5511665956999,0,200,6,서울특별시,중구
포미즈여성병원,"서울특별시 양천구 공항대로 610 (목동, 정종일산부인과)",,1,31,,126.87235841377,37.546789059764,,,2,서울특별시,양천구
연세노블병원,서울특별시 은평구 서오릉로 37 (녹번동),,1,94,,126.924452636345,37.6040399058057,,120,,서울특별시,은평구
호산여성병원,"서울특별시 강남구 언주로 871, 호산병원 (신사동)",,1,44,,127.033354132164,37.5285677154605,0,40,2,서울특별시,강남구
강남베드로병원,"서울특별시 강남구 남부순환로 2649, 베드로병원 (도곡동)",1544-7522,1,184,,127.0395873429168,37.485612179925724,0,49,4,서울특별시,강남구
허리나은병원,"서울특별시 강동구 양재대로 1415, 지하4, 지상5층 (성내동)",,1,36,,127.137628283086,37.5324911454378,0,44,2,서울특별시,강동구
메디아이여성병원,"서울특별시 노원구 노원로 448 (상계동, 메디아이여성병원)",,1,36,,127.0670480462,37.6564723367144,,30,2,서울특별시,노원구
더본병원,서울특별시 동작구 동작대로 67 (사당동),,1,42,,126.981480681968,37.4825469938281,,,,서울특별시,동작구
사랑의병원,"서울특별시 관악구 남부순환로 1860, -1,1,3,4,5층 (봉천동,  )",02-880-0119,1,74,,126.956285774259,37.4796247835746,6,68,1,서울특별시,관악구
김정수여러분병원,"서울특별시 강남구 봉은사로 171 (논현동, 지하1층일부,1-5층,6층일부)",,1,30,,127.032576001066,37.5072207305514,0,30,1,서울특별시,강남구
바로선병원,"서울특별시 도봉구 도봉로 628 (창동, 바로선병원)",,1,136,,127.042113640274,37.6603418778017,4,94,3,서울특별시,도봉구
은평연세병원,서울특별시 은평구 연서로 177 (갈현동),02-388-0119,1,73,,126.917472218592,37.6146922208583,6,,4,서울특별시,은평구
반도정형외과병원,"서울특별시 중구 동호로 202, 반도정형외과 (신당동)",,1,30,,127.010110415753,37.5559931963298,2,53,1,서울특별시,중구
한솔병원,"서울특별시 송파구 송파대로 445, 한솔병원 (석촌동)",,1,72,,127.105912362918,37.5060777045103,0,80,3,서울특별시,송파구
방화병원,"서울특별시 강서구 양천로 92, 지하1, 지상1~6층 층호 (방화동, 방화정형외과)",,1,30,,126.813998111564,37.5732366865058,,,,서울특별시,강서구
강서송도병원,"서울특별시 강서구 공항대로 315 (등촌동, 서울시니어강서타워)",,1,51,,126.842791205411,37.5584986162827,0,89,3,서울특별시,강서구
서울특별시어린이병원,서울특별시 서초구 헌릉로 260 (내곡동),,1,208,,127.068851404997,37.4557172797141,0,295,0,서울특별시,서초구
누네안과병원,"서울특별시 강남구 테헤란로 408, 대치빌딩 지상9층~지상17층 (대치동)",,1,50,,127.050387028274,37.5044682122431,0,50,2,서울특별시,강남구
한강수병원,"서울특별시 영등포구 영등포로 83, 한강수병원 (양평동1가)",02-2063-8413,1,46,,126.890913736375,37.5224047841717,,,,서울특별시,영등포구
척편한병원,"서울특별시 관악구 신림로 318, 4,5층 (신림동, 청암두산위브)",,1,90,,126.930252917369,37.4825754320038,,,,서울특별시,관악구
아름제일병원,"서울특별시 구로구 새말로 94, 2~6층, 9층 / 새말로 110 지하1층동 3~6층 (구로동)",,1,97,,126.890498431184,37.5054702180553,,,,서울특별시,구로구
튼튼병원,"서울특별시 강남구 영동대로 713, B1~6층, 7층일부,8층 (청담동)",,1,120,,127.055749348567,37.5213073708446,,,,서울특별시,강남구
하늘병원,"서울특별시 동대문구 천호대로 317, 하늘병원 (답십리동)",,1,77,,127.055634655029,37.565178527398,,,,서울특별시,동대문구
의료법인우리아이들의료재단우리아이들병원,"서울특별시 구로구 새말로 15, 2~10층,11층 일부호 (구로동, 삼전 솔하임)",,1,60,,126.882472051568,37.5021858199934,,,,서울특별시,구로구
연세무척나은병원,서울특별시 광진구 천호대로 568 (능동),,1,41,,127.080898776139,37.5562629735009,,,,서울특별시,광진구
서울현대병원,"서울특별시 강북구 도봉로 374 (번동, 서울현대병원)",02-902-9119,1,183,,127.028504374531,37.6402559204261,10,134,3,서울특별시,강북구
제일정형외과병원,"서울특별시 강남구 영동대로 726, 경일빌딩1~12층, 14층, 지하1~2층, 지하4~5층 (청담동)",,1,132,,127.05614063947,37.522820779835,0,85,3,서울특별시,강남구
서울21세기병원,서울특별시 서초구 서초중앙로 39 (서초동),,1,80,,127.015712528164,37.4852789881319,,100,4,서울특별시,서초구
정동병원,서울특별시 동작구 양녕로 283 (상도1동),,1,59,,126.949438704753,37.5049498152225,3,83,3,서울특별시,동작구
서울노보스병원,서울특별시 도봉구 도봉로 755(도봉동),,1,250,,127.043634544572,37.6719302785383,3,258,1,서울특별시,도봉구
대항병원,서울특별시 서초구 남부순환로 2151 (방배동),,1,78,,126.987740199474,37.4756666208059,,101,7,서울특별시,서초구
아카시아병원,서울특별시 금천구 시흥대로114길 5 (독산동),,1,45,,126.898548517713,37.4680878358447,,57,2,서울특별시,금천구
서울특별시북부병원,서울특별시 중랑구 양원역로 38 (망우동),,1,200,,127.10768066266,37.6043947292607,,200,,서울특별시,중랑구
서울척병원,서울특별시 성북구 동소문로47길 8 &#40;길음동&#41;,,1,99,,127.029269992391,37.6088605693088,,73,4,서울특별시,성북구
유광사여성병원,서울특별시 강서구 강서로 194 (화곡동),,1,75,,126.838880973474,37.5435916590617,0,75,1,서울특별시,강서구
코리아병원,서울특별시 동대문구 장한로 143 (장안동),,1,98,,127.071518871889,37.5731976621686,4,98,3,서울특별시,동대문구
서울재활병원,서울특별시 은평구 갈현로11길 30 (구산동),,1,80,,126.906342824539,37.60561275596,,,,서울특별시,은평구
서울병원,서울특별시 송파구 오금로 290 (가락동),,1,93,,127.124708246107,37.5039052343651,4,90,2,서울특별시,송파구
핑크힐병원,서울특별시 강서구 양천로 712 (염창동),,1,30,,126.874810563039,37.5493118670926,4,99,2,서울특별시,강서구
우리들병원,"서울특별시 강남구 학동로 445, 우리들병원 (청담동)",,1,229,,127.049609103629,37.51909256106,5,272,13,서울특별시,강남구
서울특별시서북병원,서울특별시 은평구 갈현로7길 49 (역촌동),,1,403,,126.905664235484,37.6043567763756,,510,,서울특별시,은평구
하나이비인후과병원,"서울특별시 강남구 역삼로 245, 지하2층일부 1층일부 2~7층 (역삼동)",,1,33,,127.042973993719,37.4979195675135,,,,서울특별시,강남구
고도일병원,"서울특별시 서초구 강남대로 505 (반포동, 고도일 병원)",,1,130,,127.0227028296,37.50701445806,0,59,3,서울특별시,서초구
조인트힐병원,서울특별시 관악구 난곡로 215 (신림동),,1,41,,126.917547423344,37.4737283481113,,,,서울특별시,관악구
유나이티드병원,"경기도 하남시 미사강변대로 48, 해든마루빌딩 3, 4층일부, 5층 (풍산동)",,1,38,,127.18620131558897,37.55435142401061,0,36,1,경기도,하남시
날개병원,서울특별시 동대문구 무학로 193-1 (용두동),,1,39,,127.029498659534,37.5816271425374,,,,서울특별시,동대문구
본서부병원,서울특별시 은평구 은평로 133 (응암동),,1,49,,126.922591585689,37.6009323557961,8,89,2,서울특별시,은평구
강서힘찬병원,"서울특별시 강서구 강서로56길 38 (등촌동, 강서힘찬병원)",,1,113,,126.840668886961,37.5591929622171,,,,서울특별시,강서구
조앤조병원,"서울특별시 중랑구 망우로 474 (망우동, 조앤조병원)",,1,65,,127.10471509743,37.6003063622164,,,,서울특별시,중랑구
서울스타병원,"서울특별시 강서구 강서로 307, 서울스타병원빌딩 3,4,5,6,7,층 8,9호 (내발산동)",,1,57,,126.836227554297,37.5532303968282,0,58,2,서울특별시,강서구
서울병원,서울특별시 은평구 진흥로 191 (대조동),,1,55,,126.930739739666,37.6088308110956,1,70,2,서울특별시,은평구
재단법인한국산업보건환경연구소부설해상병원,서울특별시 영등포구 신길로 173 (신길동),,1,180,,126.910726825676,37.5076073919529,,,,서울특별시,영등포구
린여성병원,"서울특별시 동대문구 답십리로 266, 파워스빌딩 (장안동)",,1,60,,127.069844464433,37.5722812717492,,,,서울특별시,동대문구
의료법인우신향병원,서울특별시 성북구 안암로 99 (안암동5가),,1,80,,127.031235460115,37.5848797322556,,88,2,서울특별시,성북구
서울특별시서남병원,서울특별시 양천구 신정이펜1로 20 (신정동),02-6300-9129,1,250,N         ,126.8331299304024,37.51201935883779,10,252,5,서울특별시,양천구
서울나은병원,서울특별시 동대문구 왕산로 137 (제기동),,1,72,,127.038731404679,37.5785692943084,,70,,서울특별시,동대문구
디앤에프병원,"서울특별시 중랑구 봉화산로 64 (중화동, 디엔에프병원)",,1,66,,127.081486513539,37.6014710157599,,,,서울특별시,중랑구
의료법인마리아의료재단마리아병원,"서울특별시 송파구 송이로 152, 마리아 의료재단 새병원 (가락동)",,1,30,,127.124408101115,37.4932775569006,,,,서울특별시,송파구
강남을지대학교병원,"서울특별시 강남구 도산대로 202, 강남을지병원 B2~9층 (논현동)",,1,33,,127.028627227383,37.5194081037449,0,30,3,서울특별시,강남구
아이디병원,"서울특별시 강남구 도산대로 142, 아이디병원 B1층,1,2,3층 (논현동)",,1,30,,127.024188449416,37.5176799808097,,30,6,서울특별시,강남구
사회복지법인 성가소비녀회 성가복지병원,서울특별시 성북구 종암로 191 (하월곡동),,1,33,,127.030683404081,37.6069277678263,,100,,서울특별시,성북구
힘찬병원,"서울특별시 양천구 신목로 120 (목동, 힘찬병원)",,1,199,,126.876846570165,37.5249809740677,,162,6,서울특별시,양천구
인정병원,서울특별시 은평구 응암로 164 (응암동),,1,60,,126.91659126549,37.5865882667176,,62,3,서울특별시,은평구
의료법인상원의료재단강북힘찬병원,"서울특별시 도봉구 도봉로 446, 강북힘찬병원 (창동)",,1,152,,127.033377074805,37.6456625299969,0,185,7,서울특별시,도봉구
햇빛병원,서울특별시 강북구 도봉로 74 (미아동),,1,60,,127.030285286084,37.6157674743173,0,50,2,서울특별시,강북구
의료법인청해의료재단제일병원,서울특별시 서초구 서초대로 116 (방배동),,1,44,,126.995052679586,37.4878291517951,2,88,1,서울특별시,서초구
학교법인대진교육재단제인병원,서울특별시 성동구 광나루로 243 (송정동),,1,97,,127.05694427692782,37.54946099718933,,,,서울특별시,성동구
서울고든병원,"서울특별시 강서구 양천로 600, 파인블루빌딩 지하1층,2,7,8층 ,9,10호 (등촌동)",,1,87,,126.864673727749,37.5554767520191,,209,10,서울특별시,강서구
의료법인인봉의료재단영등포병원,서울특별시 영등포구 당산로31길 10 (당산동3가),02-2632-0013,1,89,,126.89561402986,37.526858089517,6,122,2,서울특별시,영등포구
